Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)
2017-12-21,1265.85,1264.55,945.97,947.15,1065.09,1065.64
2017-12-20,1265.95,1264.55,944.27,943.61,1068.21,1066.4
2017-12-19,1263.1,1260.35,944.93,943.5,1070.1,1067.14
2017-12-18,1258.65,1260.6,943.11,940.28,1067.71,1067.48
2017-12-15,1257.25,1254.6,937.41,941.33,1065.52,1065.66
2017-12-14,1255.6,1251.0,935.67,933.0,1062.49,1059.97
2017-12-13,1241.6,1242.65,929.96,929.38,1056.97,1057.37
2017-12-12,1243.4,1240.9,933.92,930.18,1056.27,1056.87
2017-12-11,1251.4,1247.15,935.8,933.74,1061.19,1057.33
2017-12-08,1245.85,1250.65,924.42,931.98,1061.09,1063.8
2017-12-07,1256.8,1255.0,937.57,934.85,1066.77,1063.74
2017-12-06,1268.55,1263.7,948.37,945.25,1072.31,1072.12
2017-12-05,1275.9,1266.3,950.29,942.89,1075.71,1070.15
2017-12-04,1279.1,1273.45,952.67,942.1,1079.43,1075.68
2017-12-01,1277.25,1275.5,946.57,947.31,1072.51,1075.37
2017-11-30,1282.15,1280.2,952.64,948.88,1084.06,1074.98
2017-11-29,1294.85,1283.85,965.7,957.5,1092.46,1085.11
2017-11-28,1293.9,1291.85,972.75,974.18,1088.95,1087.61
2017-11-27,1294.7,1294.9,969.73,969.36,1084.83,1085.0
2017-11-24,1289.15,1290.5,967.89,966.58,1086.37,1082.6
2017-11-23,1290.15,1290.35,969.93,969.96,1089.4,1089.18
2017-11-22,1283.95,1286.95,969.25,969.46,1092.51,1093.01
2017-11-21,1280.0,1283.3,967.04,968.25,1090.69,1093.37
2017-11-20,1292.35,1286.2,974.82,970.44,1096.43,1094.17
2017-11-17,1283.85,1284.35,969.31,973.28,1088.19,1088.62
2017-11-16,1277.7,1280.0,969.01,969.47,1085.53,1086.59
2017-11-15,1285.7,1282.2,976.62,974.22,1086.29,1084.74
2017-11-14,1273.7,1274.6,972.47,972.52,1086.59,1084.56
2017-11-13,1278.4,1277.95,977.59,976.35,1097.89,1095.71
2017-11-10,1284.45,1284.3,976.44,971.96,1102.19,1100.77
2017-11-09,1284.0,1284.8,980.98,980.3,1106.29,1104.67
2017-11-08,1282.25,1284.0,976.82,980.85,1105.43,1107.19
2017-11-07,1276.35,1275.6,970.92,972.01,1103.28,1101.86
2017-11-06,1271.6,1270.9,969.72,969.82,1095.61,1097.04
2017-11-03,1275.3,1267.2,976.24,970.17,1094.59,1091.82
2017-11-02,1276.4,1279.2,965.09,976.03,1095.92,1096.79
2017-11-01,1279.25,1277.05,961.48,962.0,1099.52,1097.62
2017-10-31,1274.4,1270.15,964.21,959.09,1095.6,1091.69
2017-10-30,1272.75,1272.0,966.91,965.32,1093.8,1095.19
2017-10-27,1267.8,1266.45,968.35,968.07,1090.18,1093.58
2017-10-26,1278.0,1273.75,968.34,965.76,1082.34,1086.89
2017-10-25,1273.0,1275.0,964.81,963.26,1081.67,1081.2
2017-10-24,1278.3,1276.45,970.36,970.48,1087.32,1085.62
2017-10-23,1275.25,1274.9,967.79,966.37,1085.62,1085.07
2017-10-20,1280.25,1281.2,974.27,973.2,1084.76,1086.97
2017-10-19,1283.4,1286.4,975.64,975.35,1087.42,1085.98
2017-10-18,1280.65,1280.2,972.53,973.08,1090.47,1088.55
2017-10-17,1289.7,1284.75,973.47,975.38,1097.02,1094.48
2017-10-16,1305.15,1303.3,981.08,981.25,1107.03,1104.16
2017-10-13,1293.9,1299.6,972.88,975.74,1093.73,1095.43
2017-10-12,1294.45,1290.25,977.96,981.75,1092.26,1090.52
2017-10-11,1290.2,1289.25,978.62,976.35,1091.9,1087.61
2017-10-10,1289.6,1291.4,977.77,978.88,1094.61,1094.07
2017-10-09,1282.15,1278.75,976.23,972.23,1092.01,1090.01
2017-10-06,1268.2,1261.8,970.43,967.93,1083.93,1078.59
2017-10-05,1278.4,1274.5,969.28,970.28,1086.51,1087.28
2017-10-04,1275.55,1274.25,960.87,960.66,1085.11,1084.13
2017-10-03,1270.7,1271.25,959.0,959.29,1081.87,1081.33
2017-10-02,1273.1,1273.7,956.48,960.24,1084.55,1084.81
2017-09-29,1286.95,1283.1,963.15,960.02,1090.82,1087.43
2017-09-28,1284.3,1283.35,961.04,955.71,1091.4,1088.02
2017-09-27,1291.3,1282.55,963.83,958.19,1099.54,1094.14
2017-09-26,1306.9,1300.05,969.59,967.76,1105.38,1103.09
2017-09-25,1295.5,1293.3,957.89,956.52,1089.26,1088.57
2017-09-22,1297.0,1294.8,956.15,958.8,1082.09,1081.55
2017-09-21,1297.35,1292.1,960.56,956.15,1089.0,1083.81
2017-09-20,1314.9,1311.3,970.53,967.35,1094.79,1092.71
2017-09-19,1308.45,1309.6,969.3,969.5,1091.25,1092.86
2017-09-18,1314.4,1312.1,970.16,967.41,1100.68,1096.65
2017-09-15,1325.0,1322.85,977.32,973.88,1109.16,1105.37
2017-09-14,1323.0,1324.55,1002.44,991.56,1111.58,1114.61
2017-09-13,1332.25,1327.55,1003.85,1002.17,1112.43,1112.22
2017-09-12,1326.25,1326.5,1000.66,1000.31,1109.41,1110.55
2017-09-11,1338.75,1334.2,1015.31,1010.79,1114.24,1113.12
2017-09-08,1350.9,1346.25,1026.82,1020.19,1120.71,1119.0
2017-09-07,1340.45,1343.5,1026.52,1026.84,1119.54,1118.87
2017-09-06,1340.15,1337.85,1028.03,1024.26,1122.11,1121.79
2017-09-05,1331.15,1335.55,1029.51,1028.24,1120.43,1122.53
2017-09-04,1334.6,1333.1,1030.98,1029.02,1120.53,1119.67
2017-09-01,1318.4,1320.4,1020.18,1019.74,1107.98,1114.15
2017-08-31,1305.8,1311.75,1013.17,1019.62,1098.31,1106.85
2017-08-30,1310.6,1308.5,1014.93,1012.78,1096.71,1097.83
2017-08-29,1323.4,1318.65,1020.34,1018.92,1097.36,1096.59
2017-08-25,1287.05,1285.3,1003.9,1000.99,1090.9,1085.18
2017-08-24,1285.9,1289.0,1003.26,1005.68,1090.44,1092.04
2017-08-23,1286.45,1286.65,1004.33,1005.65,1091.68,1090.05
2017-08-22,1285.1,1284.2,1000.71,1001.55,1091.95,1092.73
2017-08-21,1287.6,1292.9,999.82,1002.39,1096.52,1095.6
